id,DistSim,GranSim,LevSim
406,0.00,0.25,0.38
407,0.00,0.20,0.25
408,0.00,0.40,0.22
409,0.00,0.40,0.35
410,0.00,0.20,0.22
411,0.00,0.20,0.44
412,0.00,0.33,0.15
413,0.00,0.20,0.37
414,0.00,0.40,0.40
415,0.00,0.20,0.50
416,0.00,0.20,0.25
417,0.00,0.25,0.28
418,0.00,0.60,0.41
419,0.00,0.20,0.55
420,0.00,0.20,0.22
421,0.00,0.20,0.25
422,0.00,0.40,0.22
423,0.00,0.40,0.35
424,0.00,0.20,0.22
425,0.00,0.20,0.44
426,0.00,0.33,0.15
427,0.00,0.20,0.37
428,0.00,0.40,0.40
429,0.00,0.20,0.50
430,0.00,0.20,0.25
431,0.00,0.25,0.28
432,0.00,0.60,0.41
433,0.00,0.20,0.55
434,0.00,0.20,0.22
435,0.00,0.20,0.40
436,0.00,0.20,0.25
437,0.00,0.20,0.27
438,0.00,0.20,0.22
439,0.00,0.20,0.40
440,0.00,0.33,0.11
441,0.00,0.20,0.28
442,0.00,0.20,0.33
443,0.00,0.20,0.28
444,0.00,0.20,0.27
445,0.00,0.25,0.26
446,0.00,0.20,0.22
447,0.00,0.20,0.28
448,0.00,0.20,0.22
449,0.00,0.60,0.25
450,0.00,0.20,0.06
451,0.00,0.20,0.32
452,0.00,0.60,0.12
453,0.00,0.20,0.25
454,0.00,0.33,0.25
455,0.00,0.20,0.31
456,0.00,0.20,0.25
457,0.00,0.20,0.25
458,0.00,0.20,0.25
459,0.00,0.75,0.31
460,0.00,0.20,0.12
461,0.00,0.20,0.31
462,0.00,0.20,0.25
463,0.00,0.20,0.50
464,0.00,0.40,0.12
465,0.00,0.40,0.40
466,0.00,0.20,0.22
467,0.00,0.20,0.40
468,0.00,0.33,0.23
469,0.00,0.20,0.42
470,0.00,0.40,0.33
471,0.00,0.20,0.37
472,0.00,0.20,0.27
473,0.00,0.25,0.35
474,0.80,0.80,0.40
475,0.00,0.20,0.80
476,0.00,0.20,0.33
477,0.00,0.20,0.25
478,0.00,0.40,0.00
479,0.00,0.40,0.29
480,0.00,0.20,0.11
481,0.00,0.20,0.22
482,0.00,0.33,0.15
483,0.00,0.20,0.25
484,0.00,0.40,0.29
485,0.00,0.20,0.50
486,0.00,0.20,0.21
487,0.00,0.25,0.17
488,0.00,0.60,0.21
489,0.00,0.20,0.42
490,0.00,0.20,0.27
491,0.00,0.25,0.21
492,0.00,0.50,0.12
493,0.00,0.50,0.37
494,0.00,0.25,0.00
495,0.00,0.25,0.22
496,0.00,0.33,0.30
497,0.00,0.25,0.38
498,0.00,0.50,0.35
499,0.00,0.25,0.28
500,0.00,0.25,0.28
501,0.00,0.25,0.37
502,0.00,0.75,0.35
503,0.00,0.25,0.28
504,0.00,0.25,0.22
505,0.00,0.50,0.19
506,0.00,0.16,0.08
507,0.00,0.20,0.27
508,0.00,0.60,0.16
509,0.00,0.16,0.26
510,0.00,0.33,0.07
511,0.00,0.20,0.33
512,0.00,0.20,0.33
513,0.00,0.16,0.16
514,0.00,0.16,0.25
515,0.00,0.75,0.33
516,0.00,0.20,0.26
517,0.00,0.16,0.26
518,0.00,0.20,0.22
519,0.00,0.20,0.22
520,0.00,0.40,0.27
521,0.00,0.40,0.28
522,0.00,0.20,0.27
523,0.00,0.20,0.27
524,0.00,0.33,0.30
525,0.00,0.20,0.33
526,0.00,0.40,0.38
527,0.00,0.20,0.27
528,0.00,0.20,0.36
529,0.00,0.25,0.28
530,0.00,0.60,0.66
531,0.00,0.20,0.40
532,0.00,0.20,0.22
533,0.00,0.20,0.19
534,0.00,0.20,0.00
535,0.00,0.20,0.33
536,0.00,0.20,0.33
537,0.00,0.20,0.36
538,0.00,0.33,0.23
539,0.00,0.20,0.25
540,0.00,0.20,0.23
541,0.00,0.20,0.25
542,0.00,0.20,0.28
543,0.00,0.25,0.38
544,0.00,0.20,0.15
545,0.00,0.20,0.28
546,0.00,0.20,0.33
547,0.00,0.20,0.28
548,0.00,0.20,0.37
549,0.00,0.20,0.41
550,0.00,0.20,0.33
551,0.00,0.20,0.44
552,0.00,0.33,0.29
553,0.00,0.20,0.29
554,0.00,0.20,0.31
555,0.00,0.20,0.28
556,0.00,0.20,0.36
557,0.00,0.25,0.31
558,0.00,0.20,0.30
559,0.00,0.20,0.53
560,0.00,0.20,0.25
561,0.00,0.20,0.28
562,0.00,0.20,0.25
563,0.00,0.20,0.42
564,0.00,0.20,0.22
565,0.00,0.20,0.55
566,0.00,0.33,0.23
567,0.00,0.20,0.25
568,0.00,0.20,0.35
569,0.00,0.20,0.25
570,0.00,0.20,0.27
571,0.00,0.25,0.44
572,0.00,0.20,0.42
573,0.00,0.20,0.28
574,0.00,0.20,0.30
575,0.00,0.20,0.16
576,0.00,0.20,0.37
577,0.00,0.20,0.33
578,0.00,0.20,0.33
579,0.00,0.20,0.33
580,0.00,0.33,0.23
581,0.00,0.20,0.23
582,0.00,0.20,0.22
583,0.00,0.20,0.25
584,0.00,0.20,0.27
585,0.00,0.25,0.31
586,0.00,0.20,0.20
587,0.00,0.20,0.33
588,0.00,0.20,0.23
589,0.00,0.20,0.25
590,0.00,0.20,0.37
591,0.00,0.20,0.33
592,0.00,0.20,0.33
593,0.00,0.20,0.50
594,0.00,0.33,0.07
595,0.00,0.20,0.20
596,0.00,0.20,0.22
597,0.00,0.20,0.25
598,0.00,0.20,0.36
599,0.00,0.25,0.25
600,0.00,0.20,0.30
601,0.00,0.20,0.33
602,0.00,0.20,0.13
603,0.00,0.16,0.33
604,0.00,0.16,0.37
605,0.00,0.20,0.28
606,0.00,0.20,0.33
607,0.00,0.16,0.33
608,0.00,0.33,0.07
609,0.00,0.20,0.42
610,0.00,0.20,0.33
611,0.00,0.16,0.50
612,0.00,0.16,0.18
613,0.00,0.25,0.40
614,0.00,0.20,0.30
615,0.00,0.16,0.30
616,0.00,0.20,0.16
617,0.00,0.20,0.28
618,0.00,0.20,0.25
619,0.00,0.20,0.42
620,0.00,0.20,0.22
621,0.00,0.20,0.55
622,0.00,0.33,0.23
623,0.00,0.20,0.25
624,0.00,0.20,0.35
625,0.00,0.20,0.25
626,0.00,0.20,0.27
627,0.00,0.25,0.44
628,0.00,0.20,0.42
629,0.00,0.20,0.28
630,0.00,0.20,0.30
